temperature,clouds,humidity,panelCapacity,solarOutput
19.9816047538945,39.363552027744205,43.62767366200286,10.493734630852016,6.3
43.02857225639664,47.34356593750214,39.962088660826296,15.18818867773929,6.93
34.2797576724562,85.45473932021804,25.853852125257404,11.69066883247033,3.02
28.946339367881464,34.00043860598922,64.65400030913392,2.5827490791241314,1.52
11.24074561769746,86.96496848121713,52.8961744457766,4.526024498887553,1.14
11.239780813448107,8.813443097669149,87.91308930916033,5.167235496587463,3.8
7.323344486727978,77.67984372086308,12.889862243385242,5.899420819252053,2.16
39.647045830997406,84.75476330547363,67.94811347996136,11.742664447059582,2.63
29.04460046972835,18.181765283733874,78.66539906604051,10.575349816682476,7.14
33.32290311184182,43.03465323722004,78.35379122694764,4.860040728919969,2.28
5.823379771832098,16.54997746636556,89.74665703859726,2.2835420256580545,1.48
43.79639408647977,70.66041289942177,75.61303685465447,4.257211885019643,1.22
38.29770563201687,53.534776806165674,93.50290554829267,19.703244939753464,7.44
13.493564427131046,63.5323346708321,39.93909398388023,9.902392046037972,4.02
12.272998688284025,19.648696695621116,55.28884750763888,17.479564589340136,11.81
12.336180394137353,21.17458620524195,11.267169695460161,17.126296866708024,13.7
17.16968971838151,4.149732550990636,10.62618285729621,10.718871591794601,9.75
25.990257265289515,32.20675351957297,31.61139584063679,14.427066460750327,9.94
22.27780074568463,55.97446613336749,19.072647742517674,4.662288197841534,2.33
16.649165607921677,85.79349139973289,33.41902311421782,14.079537393611258,3.65
29.47411578889518,66.69274474586807,25.933896507555765,6.175307006002501,2.4
10.579754426081674,43.53963233997514,12.566802235478342,16.809179838328866,9.59
16.685785941408724,95.31201143941378,91.83737317654445,2.5907585290692885,0.45
19.654473731747668,71.92452005758318,10.740081825000237,15.689634784820273,6.2
23.24279936868144,93.016520286255,76.24739299033769,2.898801224803771,0.58
36.407038455720546,52.75879732721657,23.69330982275649,17.74259550099187,8.36
12.986951286334389,25.89042747931396,92.100665979964,6.7798858445650705,3.83
25.569377536544465,5.282668636472199,90.35163456308972,13.43347393178092,8.97
28.6965827544817,72.60848514838504,68.85110317323316,10.262543293785317,3.21
6.858016508799909,12.130299800553413,70.50107348205447,7.959759759984441,5.35
29.301794076057533,30.277512827196716,10.480522777271968,13.263394830486433,9.32
11.82096494749166,53.24709078838974,98.63844095022418,19.00293663047352,7.59
7.602063719411181,56.441658777974766,89.0049343218233,1.7841252001178152,0.77
42.95542149013333,60.0583196987136,90.55956031570828,18.45820426177898,6.49
43.625281322982374,16.625533034970065,69.33200833457848,12.572551445399258,7.33
37.33589392465844,37.97374048216488,41.03082357890828,16.338971714611993,9.52
17.184550766934827,61.71942271169667,90.42837841814327,8.293624115251273,3.22
8.906884560255355,96.98188646337847,36.23652353360731,9.965016521914661,1.83
32.36932106048627,72.76311376996887,60.64403890079826,17.508164284222115,6.09
22.606099749584054,92.26037570939579,18.975787510949417,8.882111426386638,1.92
9.881529393791153,76.2212058314177,92.97600671194752,11.158531768232615,3.12
24.807076404450807,59.171696889240046,22.6693411994092,1.383703538602325,0.67
6.375540844608736,19.202336913634454,30.240712515736654,4.013362110922803,3.05
41.372816083151285,66.66856518925131,60.23207423153935,13.192043651521196,4.44
15.351199264000677,62.337956595990704,78.76837001916834,14.622561120213666,5.31
31.50089137415928,60.24691704572665,65.74161753426691,12.069417798905489,5.14
17.46844304357644,48.978586798824075,30.892052152014056,3.722890689236603,1.91
25.802720847112433,52.86566039892756,10.08487382747413,9.462703142978862,4.69
26.868411173731186,33.44425271181041,78.14355222766953,7.746800560900606,4.4
12.394178221021082,51.931269264230316,98.66865933199844,10.417565536666679,4.82
43.783385110582344,19.755590567847825,82.89218082754813,17.536251656527792,9.56
36.00531293444458,80.51743973603767,51.41859563409538,15.741367334514386,4.58
42.579957662567566,18.577695469870783,91.3390535259196,2.59580052639402,1.54
40.79309401710595,8.496628988946641,46.886290580651504,17.915874757716722,12.74
28.915999152443405,43.62460263571574,57.24406758191208,9.963575871846649,5.42
41.87496940092467,65.83074395060619,52.941679065611496,15.13338075283397,5.83
8.53970008207678,43.771682493354135,50.28614853989725,3.6607453940226904,1.89
